 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  2.81000  0.99989  1.58270    1.41550    1.79944    2.20467     2.35612     2.53960      2.77807
  2.82000  0.99990  1.58521    1.41551    1.79946    2.20476     2.35630     2.54002      2.77974
  2.83000  0.99990  1.58771    1.41552    1.79949    2.20485     2.35647     2.54042      2.78131
  2.84000  0.99991  1.59020    1.41553    1.79951    2.20493     2.35663     2.54081      2.78281
  2.85000  0.99991  1.59269    1.41554    1.79953    2.20501     2.35677     2.54117      2.78421
  2.86000  0.99991  1.59518    1.41555    1.79955    2.20508     2.35692     2.54150      2.78554
  2.87000  0.99992  1.59766    1.41556    1.79957    2.20515     2.35705     2.54183      2.78680
  2.88000  0.99992  1.60013    1.41557    1.79959    2.20522     2.35718     2.54213      2.78799
  2.89000  0.99993  1.60260    1.41558    1.79961    2.20528     2.35730     2.54242      2.78911
  2.90000  0.99993  1.60507    1.41558    1.79962    2.20534     2.35741     2.54269      2.79016
  2.91000  0.99993  1.60753    1.41559    1.79964    2.20540     2.35751     2.54294      2.79116
  2.92000  0.99993  1.60998    1.41560    1.79965    2.20545     2.35761     2.54318      2.79210
  2.93000  0.99994  1.61243    1.41561    1.79967    2.20551     2.35771     2.54341      2.79299
  2.94000  0.99994  1.61488    1.41561    1.79968    2.20555     2.35780     2.54363      2.79383
  2.95000  0.99994  1.61732    1.41562    1.79969    2.20560     2.35788     2.54383      2.79462
